      IND             SHC     g | h         n         m
        1    4.107328e+05         g         1         0
        2   -7.126972e+04         g         1         1
        3    2.093970e+04         h         1         1
        4    1.225536e+04         g         2         0
        5   -5.678128e+04         g         2         1
        6   -4.280297e+04         h         2         1
        7    4.811961e+04         g         2         2
        8    2.050260e+04         h         2         2
        9    2.944627e+03         g         3         0
       10   -3.728677e+04         g         3         1
       11   -3.273284e+04         h         3         1
       12    1.521496e+04         g         3         2
       13    4.243702e+04         h         3         2
       14   -1.295022e+03         g         3         3
       15   -2.748217e+04         h         3         3
       16   -3.362803e+04         g         4         0
       17   -8.359259e+03         g         4         1
       18    3.161371e+04         h         4         1
       19   -2.674612e+03         g         4         2
       20    2.785787e+04         h         4         2
       21   -1.074836e+04         g         4         3
       22   -7.877967e+02         h         4         3
       23   -1.796958e+04         g         4         4
       24   -1.537906e+03         h         4         4
       25   -1.888209e+04         g         5         0
       26    4.358834e+03         g         5         1
       27    4.636095e+04         h         5         1
       28    1.645680e+04         g         5         2
       29   -1.350097e+03         h         5         2
       30   -1.743272e+04         g         5         3
       31    5.841013e+03         h         5         3
       32   -2.626001e+03         g         5         4
       33    1.053155e+04         h         5         4
       34   -5.116851e+03         g         5         5
       35    1.004410e+04         h         5         5
       36   -1.956528e+04         g         6         0
       37    9.094009e+03         g         6         1
       38    1.248851e+04         h         6         1
       39    1.214572e+04         g         6         2
       40   -9.067903e+03         h         6         2
       41   -1.239532e+04         g         6         3
       42   -4.975671e+02         h         6         3
       43    2.484468e+03         g         6         4
       44    1.384856e+04         h         6         4
       45    1.364859e+03         g         6         5
       46   -3.599458e+03         h         6         5
       47    7.964408e+03         g         6         6
       48    4.910276e+03         h         6         6
       49   -1.529388e+03         g         7         0
       50    6.087863e+03         g         7         1
       51   -5.793151e+03         h         7         1
       52   -6.746339e+03         g         7         2
       53   -1.249669e+04         h         7         2
       54   -1.808576e+03         g         7         3
       55    1.893962e+03         h         7         3
       56   -6.890314e+03         g         7         4
       57    5.505157e+03         h         7         4
       58    3.393032e+03         g         7         5
       59   -6.675467e+03         h         7         5
       60   -2.353171e+03         g         7         6
       61   -1.976546e+03         h         7         6
       62    3.814623e+03         g         7         7
       63   -5.766730e+03         h         7         7
       64    1.331037e+04         g         8         0
       65    1.375543e+02         g         8         1
       66   -4.073709e+03         h         8         1
       67   -7.406706e+03         g         8         2
       68   -1.170810e+04         h         8         2
       69    1.452394e+02         g         8         3
       70    1.010724e+04         h         8         3
       71   -4.789678e+03         g         8         4
       72   -1.752041e+03         h         8         4
       73   -1.723780e+03         g         8         5
       74    2.353163e+03         h         8         5
       75   -4.326992e+03         g         8         6
       76   -3.314010e+03         h         8         6
       77   -1.375847e+03         g         8         7
       78    9.327974e+02         h         8         7
       79   -3.058915e+03         g         8         8
       80   -3.232465e+03         h         8         8
       81    7.070126e+03         g         9         0
       82   -2.283810e+03         g         9         1
       83   -6.482364e+03         h         9         1
       84    1.158328e+03         g         9         2
       85   -1.986328e+03         h         9         2
       86    7.149624e+02         g         9         3
       87    6.252512e+03         h         9         3
       88    3.538139e+03         g         9         4
       89   -1.187536e+03         h         9         4
       90   -2.778158e+03         g         9         5
       91    3.565594e+03         h         9         5
       92    1.623138e+03         g         9         6
       93   -1.653086e+02         h         9         6
       94   -1.590791e+03         g         9         7
       95    1.924211e+03         h         9         7
       96    1.376716e+03         g         9         8
       97    8.473695e+02         h         9         8
       98   -2.387583e+03         g         9         9
       99    1.795332e+03         h         9         9
      100   -4.352063e+02         g        10         0
      101    8.677253e+02         g        10         1
      102   -6.379541e+03         h        10         1
      103    1.849209e+03         g        10         2
      104    5.639686e+03         h        10         2
      105    4.156318e+03         g        10         3
      106   -2.297927e+03         h        10         3
      107    3.988846e+03         g        10         4
      108   -1.507966e+03         h        10         4
      109    4.175501e+02         g        10         5
      110   -3.759628e+02         h        10         5
      111    1.950425e+03         g        10         6
      112   -7.581378e+02         h        10         6
      113    8.004755e+02         g        10         7
      114   -1.557843e+03         h        10         7
      115    2.490610e+03         g        10         8
      116    4.031836e+02         h        10         8
      117    8.637237e+02         g        10         9
      118   -7.484374e+02         h        10         9
      119    1.094492e+03         g        10        10
      120    1.672928e+03         h        10        10
      121    8.348069e+02         g        11         0
      122    3.469895e+03         g        11         1
      123    6.115245e+02         h        11         1
      124   -1.222804e+03         g        11         2
      125    4.937343e+03         h        11         2
      126    4.070268e+03         g        11         3
      127   -4.237530e+03         h        11         3
      128    3.244903e+02         g        11         4
      129   -3.070353e+03         h        11         4
      130    4.099138e+02         g        11         5
      131   -3.342940e+02         h        11         5
      132   -9.633098e+02         g        11         6
      133   -2.770635e+03         h        11         6
      134   -3.546689e+02         g        11         7
      135   -1.355332e+03         h        11         7
      136    8.179212e+02         g        11         8
      137   -1.846928e+03         h        11         8
      138    2.533747e+02         g        11         9
      139   -1.540185e+03         h        11         9
      140   -1.870173e+02         g        11        10
      141   -6.451448e+02         h        11        10
      142    1.056620e+03         g        11        11
      143   -5.642974e+02         h        11        11
      144    2.642310e+03         g        12         0
      145    1.904652e+03         g        12         1
      146    4.933854e+03         h        12         1
      147   -6.396883e+02         g        12         2
      148    1.760743e+03         h        12         2
      149    9.028852e+01         g        12         3
      150   -1.972650e+03         h        12         3
      151   -6.181346e+02         g        12         4
      152   -9.760819e+02         h        12         4
      153   -9.407614e+02         g        12         5
      154    1.033293e+03         h        12         5
      155   -9.669097e+02         g        12         6
      156   -1.179748e+03         h        12         6
      157   -2.049660e+03         g        12         7
      158    8.119515e+02         h        12         7
      159    5.674214e+02         g        12         8
      160   -9.701623e+02         h        12         8
      161   -1.380753e+03         g        12         9
      162   -5.618664e+02         h        12         9
      163   -7.230008e+02         g        12        10
      164   -3.495100e+01         h        12        10
      165   -6.194786e+02         g        12        11
      166    1.682451e+01         h        12        11
      167   -2.422399e+02         g        12        12
      168   -6.138170e+02         h        12        12
      169    1.638326e+03         g        13         0
      170   -9.462268e+02         g        13         1
      171    3.244039e+03         h        13         1
      172    1.226001e+03         g        13         2
      173    4.471359e+02         h        13         2
      174   -1.956234e+03         g        13         3
      175   -3.959842e+02         h        13         3
      176    5.966063e+01         g        13         4
      177    1.933176e+03         h        13         4
      178    1.683845e+02         g        13         5
      179    2.419796e+02         h        13         5
      180    2.713715e+02         g        13         6
      181    1.003275e+03         h        13         6
      182   -8.204352e+02         g        13         7
      183    1.117367e+03         h        13         7
      184    1.152803e+03         g        13         8
      185    3.448389e+02         h        13         8
      186   -6.131288e+02         g        13         9
      187   -1.174368e+02         h        13         9
      188   -1.470204e+02         g        13        10
      189    1.091906e+03         h        13        10
      190   -2.569369e+02         g        13        11
      191    5.038193e+02         h        13        11
      192   -1.139378e+02         g        13        12
      193    4.877133e+02         h        13        12
      194   -3.582343e+02         g        13        13
      195    5.495400e+01         h        13        13
      196    1.045470e+03         g        14         0
      197   -2.164763e+03         g        14         1
      198    5.789750e+01         h        14         1
      199    1.024250e+03         g        14         2
      200   -8.171057e+01         h        14         2
      201   -1.265545e+03         g        14         3
      202    1.069343e+02         h        14         3
      203   -3.432703e+01         g        14         4
      204    1.581821e+03         h        14         4
      205    1.225710e+03         g        14         5
      206   -9.699263e+02         h        14         5
      207    1.546151e+02         g        14         6
      208    8.237986e+02         h        14         6
      209    6.087701e+02         g        14         7
      210    2.403410e+02         h        14         7
      211    7.451900e+02         g        14         8
      212   -2.495195e+02         h        14         8
      213    2.806114e+02         g        14         9
      214   -3.051217e+02         h        14         9
      215    2.906469e+02         g        14        10
      216    5.038912e+02         h        14        10
      217    3.660059e+02         g        14        11
      218    2.850500e+02         h        14        11
      219    2.482017e+02         g        14        12
      220    2.643036e+02         h        14        12
      221    2.840841e+02         g        14        13
      222    1.624544e+02         h        14        13
      223   -4.800014e+01         g        14        14
      224    1.937799e+02         h        14        14
      225    8.823070e+02         g        15         0
      226   -1.951589e+03         g        15         1
      227   -1.329043e+03         h        15         1
