      IND             SHC     g | h         n         m
        1    6.687583e+05         g         1         0
        2   -1.160894e+05         g         1         1
        3    3.394832e+04         h         1         1
        4    2.341581e+04         g         2         0
        5   -1.088218e+05         g         2         1
        6   -8.199084e+04         h         2         1
        7    9.213550e+04         g         2         2
        8    3.926462e+04         h         2         2
        9    6.544461e+03         g         3         0
       10   -8.407528e+04         g         3         1
       11   -7.383252e+04         h         3         1
       12    3.429953e+04         g         3         2
       13    9.563373e+04         h         3         2
       14   -2.887040e+03         g         3         3
       15   -6.192457e+04         h         3         3
       16   -8.918065e+04         g         4         0
       17   -2.220274e+04         g         4         1
       18    8.386373e+04         h         4         1
       19   -7.081090e+03         g         4         2
       20    7.387022e+04         h         4         2
       21   -2.851512e+04         g         4         3
       22   -2.129681e+03         h         4         3
       23   -4.761769e+04         g         4         4
       24   -4.078397e+03         h         4         4
       25   -5.900544e+04         g         5         0
       26    1.351810e+04         g         5         1
       27    1.445871e+05         h         5         1
       28    5.129994e+04         g         5         2
       29   -4.196856e+03         h         5         2
       30   -5.440563e+04         g         5         3
       31    1.818764e+04         h         5         3
       32   -8.116298e+03         g         5         4
       33    3.281989e+04         h         5         4
       34   -1.595300e+04         g         5         5
       35    3.131971e+04         h         5         5
       36   -7.184448e+04         g         6         0
       37    3.339546e+04         g         6         1
       38    4.582777e+04         h         6         1
       39    4.451324e+04         g         6         2
       40   -3.320385e+04         h         6         2
       41   -4.547086e+04         g         6         3
       42   -1.851912e+03         h         6         3
       43    9.093138e+03         g         6         4
       44    5.083146e+04         h         6         4
       45    5.085697e+03         g         6         5
       46   -1.318134e+04         h         6         5
       47    2.926880e+04         g         6         6
       48    1.800361e+04         h         6         6
       49   -6.604222e+03         g         7         0
       50    2.627736e+04         g         7         1
       51   -2.503450e+04         h         7         1
       52   -2.908199e+04         g         7         2
       53   -5.401186e+04         h         7         2
       54   -7.681559e+03         g         7         3
       55    8.174193e+03         h         7         3
       56   -2.962571e+04         g         7         4
       57    2.367955e+04         h         7         4
