      IND             SHC     g | h         n         m
        1    4.110202e+05         g         1         0
        2   -7.129615e+04         g         1         1
        3    2.098083e+04         h         1         1
        4    1.169532e+04         g         2         0
        5   -5.695356e+04         g         2         1
        6   -4.260138e+04         h         2         1
        7    4.830359e+04         g         2         2
        8    2.018956e+04         h         2         2
        9    2.987064e+03         g         3         0
       10   -3.744969e+04         g         3         1
       11   -3.296288e+04         h         3         1
       12    1.542231e+04         g         3         2
       13    4.258264e+04         h         3         2
       14   -1.579775e+03         g         3         3
       15   -2.749223e+04         h         3         3
       16   -3.457292e+04         g         4         0
       17   -8.018114e+03         g         4         1
       18    3.237376e+04         h         4         1
       19   -2.570451e+03         g         4         2
       20    2.751389e+04         h         4         2
       21   -1.081280e+04         g         4         3
       22   -5.889638e+02         h         4         3
       23   -1.801777e+04         g         4         4
       24   -1.223501e+03         h         4         4
       25   -1.810490e+04         g         5         0
       26    4.341197e+03         g         5         1
       27    4.548949e+04         h         5         1
       28    1.656714e+04         g         5         2
       29   -8.113521e+02         h         5         2
       30   -1.726376e+04         g         5         3
       31    5.990801e+03         h         5         3
       32   -2.575757e+03         g         5         4
       33    1.050887e+04         h         5         4
       34   -4.928644e+03         g         5         5
       35    1.013947e+04         h         5         5
       36   -2.110989e+04         g         6         0
       37    9.807141e+03         g         6         1
       38    1.391456e+04         h         6         1
       39    1.203059e+04         g         6         2
       40   -1.014837e+04         h         6         2
       41   -1.257703e+04         g         6         3
       42   -2.976220e+02         h         6         3
       43    2.777703e+03         g         6         4
       44    1.389736e+04         h         6         4
       45    1.522455e+03         g         6         5
       46   -3.686382e+03         h         6         5
       47    8.097321e+03         g         6         6
       48    4.750149e+03         h         6         6
       49    5.984454e+01         g         7         0
       50    5.584610e+03         g         7         1
       51   -7.494536e+03         h         7         1
       52   -6.875738e+03         g         7         2
       53   -1.134169e+04         h         7         2
       54   -1.523150e+03         g         7         3
       55    2.104883e+03         h         7         3
       56   -7.089684e+03         g         7         4
       57    5.319625e+03         h         7         4
       58    3.002388e+03         g         7         5
       59   -6.627687e+03         h         7         5
       60   -2.506287e+03         g         7         6
       61   -1.943065e+03         h         7         6
       62    3.669407e+03         g         7         7
       63   -5.887774e+03         h         7         7
       64    1.096925e+04         g         8         0
       65    1.233365e+03         g         8         1
       66   -2.469433e+03         h         8         1
       67   -7.385648e+03         g         8         2
       68   -1.285448e+04         h         8         2
       69   -1.231956e+02         g         8         3
       70    1.001463e+04         h         8         3
       71   -4.685707e+03         g         8         4
       72   -1.621812e+03         h         8         4
       73   -1.272431e+03         g         8         5
       74    2.353713e+03         h         8         5
       75   -4.322058e+03         g         8         6
       76   -3.152402e+03         h         8         6
       77   -1.441749e+03         g         8         7
       78    9.544006e+02         h         8         7
       79   -3.067200e+03         g         8         8
       80   -3.118645e+03         h         8         8
       81    8.748223e+03         g         9         0
       82   -3.130863e+03         g         9         1
       83   -7.752479e+03         h         9         1
       84    7.091596e+02         g         9         2
       85   -1.154792e+03         h         9         2
       86    9.989375e+02         g         9         3
       87    6.589104e+03         h         9         3
       88    3.575776e+03         g         9         4
       89   -1.424960e+03         h         9         4
       90   -3.096262e+03         g         9         5
       91    3.657981e+03         h         9         5
       92    1.375797e+03         g         9         6
       93   -1.903304e+02         h         9         6
       94   -1.438130e+03         g         9         7
       95    2.001666e+03         h         9         7
       96    1.363263e+03         g         9         8
       97    9.293078e+02         h         9         8
       98   -2.243114e+03         g         9         9
       99    1.903960e+03         h         9         9
      100   -2.352577e+03         g        10         0
      101    1.922488e+03         g        10         1
      102   -5.721722e+03         h        10         1
      103    2.261802e+03         g        10         2
      104    5.314917e+03         h        10         2
