      colloX       colloY       colloZ
   15009.290   -53552.743    15903.928
   53400.834    -3816.559   -28155.321
  -54971.306   -18705.423   -17242.617
   20070.785    55636.389    -2035.860
   51152.819    12395.750   -27589.823
  -48686.872    13984.335    31080.139
  -38449.123    35076.973   -26134.133
   18477.957    -6067.148   -57198.576
   50803.850   -25967.523     4896.101
   45991.136    34732.063     4333.830
  -27988.503     7445.423    51555.666
   50907.087   -13324.151    23350.445
   43259.119   -13555.616    35099.916
   -1914.565    48393.960    32537.991
   55998.733    12160.063   -19358.644
   -6900.097     6012.348   -59007.266
   -6283.020   -17092.761    56620.488
   40109.143   -41059.419     3450.240
   36417.529   -18335.134    41274.476
   42565.781   -26029.079    30239.149
   36342.240     3868.644    45879.375
  -54936.043     7080.144   -15707.456
   37289.073    -9472.089    45719.809
   53617.047    24042.487   -12968.922
   44360.691   -31537.239    24574.830
   58268.599    13201.557    -3629.600
   36927.341   -44082.533    16501.259
   -6783.118   -21963.666    52419.018
   39623.892   -39583.570   -19421.468
  -38881.793    40718.351   -19798.935
   31784.087     6945.493    47064.808
  -49698.545    12897.939   -29180.480
  -50112.613   -33293.299    -1647.848
  -28538.773   -24243.862   -43502.725
  -57154.681    11119.980     6218.553
   53376.247    16521.392    19108.277
   13223.940   -53920.404    23154.018
  -27201.795   -54043.943     -144.730
   44704.004    33144.491    19957.600
  -56589.164     -909.775   -16206.943
   -3472.928    -5449.947   -58668.185
  -20427.184    32050.655   -47148.151
   21074.959    -7075.063    52958.644
   11655.485     7929.129    56027.876
  -38515.030    20843.929    40954.453
   -1050.602   -56498.426   -19481.510
  -25523.772     2281.488    53972.253
   29781.663    -1791.735   -51644.505
   48771.585    18014.290    26795.237
   52010.836    14312.556    19365.611
  -24284.742   -34954.564   -42860.950
   12764.331    21756.905   -51334.955
  -32348.513   -26629.667    43610.006
  -28058.810    -8925.731   -50461.540
    -597.768     9215.149   -57263.369
   37445.626    23343.225   -38407.630
  -32979.429    19916.180   -45037.733
   12721.542     9135.999   -56650.721
   -8984.591   -56684.238    14713.122
   45199.040     4492.465   -37870.140
  -40374.467    43480.822     3643.558
     890.318   -57852.829    17235.564
   41417.611    34643.754   -24098.521
   24137.549   -53948.285    13765.466
   56973.985   -11247.762    -7808.195
   10053.714    46592.232   -33697.797
  -38396.102   -43909.882     8806.329
  -30800.135    31509.992    40651.315
  -55512.056    10627.668   -17919.264
   46336.535    18899.318    32473.525
  -24134.733    19086.209   -48780.944
   19780.109   -11790.285   -56179.165
  -26298.773    44511.321    30826.965
   20492.462     -463.480   -53526.658
  -12405.129   -30629.282   -46994.736
  -55540.806    13401.758    -6421.936
  -56588.294    13439.367     4546.096
   36595.648    31808.418   -31409.441
  -24392.693    15522.030   -49566.446
  -23386.746   -14108.186    54211.037
   27541.936   -52127.806    -9266.223
   11023.621    58537.059     4481.466
   11101.108   -51875.906   -23524.801
   52644.367   -23886.932   -16066.445
  -23000.616    23830.885    50088.019
   19315.607   -15707.365    52160.965
   37197.994   -44505.975     8035.350
  -13571.155    35708.634    44341.937
    9978.260   -11749.334    58032.813
  -30100.621   -28960.880   -40930.878
  -21601.501    31009.719   -45543.152
    5005.130   -14636.139    56575.666
   41342.616   -44306.983     2569.258
   47404.591   -24829.778   -26437.532
  -39399.037   -19255.332    40792.120
    6259.123    51896.216    24445.239
   -2487.772    18942.460    57045.499
  -51242.751   -27239.353    -5755.982
  -49302.797   -22681.293   -23468.093
  -44940.696    21562.023   -28516.370
   15595.701    28916.307   -47980.537
  -45376.753    -6626.459   -36266.167
    4088.714   -33405.356    46480.919
  -25725.658    13630.163   -51062.742
   15047.296   -56089.057    11512.373
  -19943.399    29278.161   -49243.173
   15673.661   -30204.761    46369.510
   26421.704   -22213.060    45679.707
   35939.340   -41800.116   -18095.047
   -7766.156   -38084.088   -42269.111
  -53435.332     6445.884    24157.686
  -26926.508    38427.465    34142.212
   41654.601    34101.405    28075.741
  -32860.308   -49426.353      817.065
   52825.452   -19604.606    17172.150
   15386.168    -1068.718    58037.594
   56051.889     -570.155   -16779.789
  -42025.563     4652.573    41894.904
  -11693.569    10658.026   -55231.449
  -46157.891   -19891.567   -28217.040
   57630.265    -4747.982      582.008
   44491.364   -37363.653     4394.938
   44046.816   -21877.268   -34602.806
  -33163.627    29227.998   -40053.242
  -19057.475   -49148.879   -29849.345
  -27929.491   -36982.337   -37805.251
   39021.640   -42003.790     -827.018
  -11391.740    26428.620   -53298.173
   28796.444   -44693.745   -29012.825
  -43617.902   -36106.496   -10094.945
  -11928.642   -43499.331   -35956.504
  -34369.697    22769.952    41504.333
  -33635.199    45542.365    10984.791
   35487.674   -40299.993   -24417.229
    9311.484    27248.826    52357.286
    1001.454    48251.348    34674.386
  -42426.369    38680.375    -4399.670
   29706.470    42522.338    27055.910
   27659.975   -47387.973   -17344.306
  -15201.158    52865.984   -24218.077
    1572.506   -16790.502   -58377.993
   -7732.899   -43832.335    39450.907
  -43189.726    -8789.366    38137.005
  -14766.142    18326.369    55459.635
  -24927.426    55017.438    -4125.376
  -29697.254    27225.111    40927.413
  -58198.022    12697.573    -5293.239
  -28134.461    51887.778    11135.764
  -55659.883   -14301.353     -910.815
   33692.758   -45797.747   -15253.018
   34246.414   -45260.339    18358.498
    -948.809   -56160.760    12277.443
   -1489.581    42085.178   -43533.812
  -55832.919    -9467.726    10680.754
   19808.346   -23140.340    51358.315
  -14443.683   -22476.889    53814.341
  -22964.770   -27177.801    47133.782
   56444.590   -13127.458    12068.733
   -9110.392    57728.746   -15593.324
  -22091.013    55936.521    -7748.808
  -10335.665   -26179.202   -50018.346
  -40834.073   -18029.088   -37415.481
  -46577.140    17635.200    34721.511
   56742.753     2563.436    12824.811
   54630.927   -16866.080    -5816.166
    6054.538    20127.062    54570.437
  -28369.837   -32027.226    39706.063
  -19126.041    56279.252     -611.327
  -24511.359   -49701.304   -19271.394
   42178.460    21388.235    35712.722
  -49075.407   -26018.531   -19593.662
  -50291.946   -22031.792    23456.581
  -47239.025    36965.913     7827.089
   32449.186     3750.297    48270.976
   18120.298    10691.629   -55240.003
   54525.467    15178.196    18693.933
  -10023.712    53570.135    25349.962
    4946.271    46839.512   -36742.515
  -19530.956    27292.606   -49691.621
   33108.323    26406.559   -42876.862
  -39983.060    36379.497    21511.223
   21295.457    42057.577    33521.244
  -21684.446   -29384.899   -45626.770
  -45647.098   -36009.381    16735.038
   13699.815   -40277.391   -40229.902
   51490.331    28822.288     1049.592
  -29246.783    49785.134    10428.454
   26009.665    32600.197   -40627.378
   22590.933    31518.778    45499.858
   -4305.295   -59499.204    -4325.211
   -8056.522   -30422.704   -49753.453
   -5190.369     4288.150    58094.811
   -9378.827    -4079.129    59322.249
    1402.498    52819.829    23359.121
    2257.083    57841.116    -8638.957
   37242.042   -11321.421    44871.220
   50033.654    -2351.307    29012.746
   10171.123    23857.696   -52808.441
  -11856.136    27661.448   -51739.113
   16315.464   -43846.624   -37665.821
   11141.793   -49347.727   -31609.944
  -35640.182   -26034.450    38319.818
   25304.105   -35346.001   -40045.859
   31420.675   -18570.362   -45422.320
   11730.798    11404.543    58440.727
    9028.026    24422.364   -52693.947
    9127.850    24659.734    51930.253
  -21775.357    26895.154   -48538.945
  -12259.607   -56917.874    -8757.283
  -20537.113    45266.650   -33392.551
  -17953.851    55200.302     4621.821
   52268.545   -20129.127    21254.397
  -27426.842    21085.837   -48656.024
  -15643.112    41177.661    39699.798
  -32887.353   -48028.708    -1613.439
  -52599.496    21857.993     7903.700
   -7394.791   -34879.682   -45738.422
  -30027.576   -52009.234    -5411.764
   51991.851   -22633.621    11782.038
  -25013.090   -50424.957    10803.378
  -53122.251   -15418.637    23675.363
   42287.716   -22071.460   -32322.689
   27939.676   -14218.403   -51022.662
  -24564.544    53584.703   -10003.110
  -35251.466    39092.062   -26128.487
  -16172.856   -56078.766    -4031.149
  -18859.250   -32896.332    43785.636
   10989.266    13599.705   -57570.401
   -8250.791    15302.322   -56577.001
   18798.438    40388.116   -40915.025
   24285.294     8139.637   -54140.765
  -34850.510   -48538.890    -6288.039
  -47154.962    33216.832   -14184.140
  -28575.922    34631.523    39222.779
  -40430.248   -43734.141   -11823.383
  -21232.234   -21028.556    48826.720
    1128.589   -52740.311   -24150.862
  -53519.918    -2901.301   -23131.036
  -21103.156   -43180.811    32605.519
   39110.391    37399.819   -23156.263
  -27234.257   -30964.044   -40511.202
   50712.576   -20702.540    25872.355
   13731.712    51844.722    23334.174
   -2785.115    37000.703    43925.648
   13000.128   -25780.621   -53338.945
  -56066.708   -15274.556      719.371
   -5498.867    25181.372   -51252.859
   50047.574    28169.145     3545.928
    6748.997    49256.462   -31343.273
    1315.767    55210.977    21837.798
  -33565.139   -46122.367    -9025.914
   -3514.077   -20532.159   -55005.443
    6707.214   -58500.814     5816.178
   18110.476    17369.313   -54781.167
  -25393.089    50017.023   -14930.173
  -11504.999     3988.230   -57204.221
   44274.726   -36897.967   -11674.058
  -42029.899   -38370.211    20150.786
   44929.192    36696.672     4661.145
   14388.164   -53242.423   -19014.086
   41945.974    39272.305    16407.805
  -58070.825    -5986.522    10065.473
  -49170.461    -6530.882   -33887.867
  -11524.609   -25297.278   -52295.693
   13202.700    17767.718    56048.654
  -58589.041    -5514.327     1755.140
   14014.314   -31749.969    48930.955
  -58784.934   -15147.493    -2283.186
    3162.348     -818.077    59062.482
   42990.858    -8720.820    39189.669
   35707.520    48549.546     -808.285
   32816.303    12177.320   -48517.630
   20968.036   -52399.195   -15388.938
  -36462.020   -44169.145   -19645.706
   14995.283    -6651.121    57321.912
  -38845.388    19502.825    37513.975
  -52806.272    27362.826    10976.382
   49838.687    29088.122    -4110.976
       4.587   -35008.288    47328.909
   -2081.581    54695.887   -20617.973
   33661.178   -29899.173    37993.466
   19532.669   -48331.411   -23730.899
   12841.045    15599.216   -54147.139
   47338.940    36507.752    -4837.562
   27320.754    28514.532   -43911.996
   21917.389    47746.053    28361.201
  -24558.323    31118.648    44591.448
  -25150.470     6101.484   -54140.680
   26908.030    35340.600   -38003.471
  -44087.707    37001.405    -6682.932
  -11376.580    43032.334   -39603.779
  -48307.902    19397.139    28877.965
   40096.832    43614.452    12576.931
   28709.339    49972.912    14228.410
      87.197    -9933.249   -58295.780
   -3336.244    59239.019     -773.576
  -49659.787    21836.881    21171.624
   25686.487    43102.549    30823.548
  -51799.323    28358.421    -6165.863
  -59284.893    -2742.352    -8174.938
    1881.953    14585.444    56566.141
  -38413.269    44183.982    15435.684
   27378.603   -29410.870   -41412.853
   26171.142   -49513.914   -16730.593
   46367.730    35612.844     9113.316
  -27157.402     7898.958    53580.702
   38607.729    38662.885   -23861.219
   30506.463    -3961.744    49144.762
   23761.119   -24348.253    48857.461
   24626.680    22172.143    49569.438
   37411.383    38879.376   -19703.397
   -7741.228    17115.034   -54431.869
   -6854.101    -9936.191    57746.849
   59285.738    -2394.636    -1507.889
  -57045.814    -6125.315    -3016.986
  -14898.018   -40777.404   -40568.136
  -25039.146     5223.524   -52306.727
  -15318.495    42524.854   -35270.402
   24401.917     2202.458    53394.812
   42773.130   -29246.625   -25578.121
  -39657.228    25891.975   -33391.518
  -20880.084    53591.968   -15646.799
    9642.605    32006.335    49280.471
  -17874.209    30227.147   -47565.065
    7361.994     5405.797   -58237.469
   22703.984   -32622.409   -41224.599
  -38535.767     5481.016    46114.856
   -5874.216    37492.869    44312.914
  -52306.790    -1373.995    28353.382
   48312.329    29790.894    19725.193
  -57922.014    -5575.079    16513.774
  -42202.922    20692.124   -37388.281
  -15228.734   -37157.045    42602.859
  -42685.507   -35563.518   -22877.550
    -481.994   -56278.084    10940.411
  -19677.260    25690.678   -48043.562
   58802.054     9364.258    -3208.520
   36662.397    23446.840    40445.684
  -58335.685    13344.215    -7221.555
   13837.022   -55732.682    12767.886
  -60183.767     4450.008    -2915.224
   -7367.584    55890.464   -12159.786
    9728.548    55072.218    15086.175
   49420.688    -9969.256   -33200.292
  -20219.199   -34670.265    42373.217
   51764.592   -11995.759   -23004.821
  -28738.958    15425.127   -48148.496
   33853.623    19159.911   -44531.434
   25785.608   -34700.947    37844.580
    7566.665   -40363.145    43312.522
   40320.884   -12953.542    41761.710
    7843.291    26608.392    52724.286
  -34882.317    45276.140   -15993.274
  -55289.581     9265.748   -16775.775
   45712.554   -31012.827    21005.559
  -52151.118    20717.161   -15839.243
    6063.466    45959.383    34634.211
   35830.762   -12280.650    46875.057
    4306.855   -49553.270    31375.645
  -44941.934   -38030.876    -6160.521
  -12934.339    21641.001    54066.382
  -37653.294   -20701.198   -41888.892
   41395.290    10726.032   -42161.152
  -46880.307    16960.519   -34333.190
   34856.095    33407.464    35112.798
   10692.800    33163.619    48577.299
