      colloX       colloY       colloZ
  -56144.784    15311.989    41526.043
  -15391.404    68229.012   -14799.075
  -26462.343    48153.986   -45738.869
   43758.150    21790.676   -52167.967
  -20096.202    68600.530     1102.744
  -57620.691    -2503.784    42245.629
   -1877.397   -15985.770    69656.562
   25074.400    65172.709    15326.400
   -5339.671   -61077.743   -36770.957
  -68267.061   -13814.674   -16120.459
   -5250.163   -70893.115    -7596.586
  -23196.864    46361.449    49230.352
   16036.020    29541.927    63096.963
  -17739.002    33393.427   -60673.824
   -9993.024   -70414.438    -7283.717
  -37985.372     8440.058    59974.853
  -43284.796    52098.603   -22875.053
   16564.430    47948.579   -50375.187
   52132.653    13111.424    47131.552
   28057.655    18992.906    62953.503
    8267.244   -67945.134   -20645.035
   71293.263    -5219.490    -1064.692
   35635.974    61663.081     6232.801
    1049.830   -33198.540    63307.669
   -1540.046    11025.950    70619.847
   64167.454    -1317.228    31494.583
  -14815.724    66899.400   -20397.810
   23257.543   -25900.789    62444.711
  -40082.133    19290.913   -55967.752
    3104.313   -47544.185    53301.218
    -169.046   -67198.738   -24400.966
  -29933.133    -4768.422    64748.558
   -2323.577     7293.805   -71080.992
   23724.682   -16931.258    65280.763
   30743.820    61464.275    19699.403
   48300.173    16877.659    49933.395
   52345.295    48595.677    -3088.095
    2007.170    42885.898   -57165.348
   41787.477   -40184.615   -41834.311
   -5642.538   -65354.660    28425.978
  -40435.393   -29568.143    51007.940
   57697.497   -13744.470   -39914.841
   47440.106     4723.591   -53275.042
   49883.995     6953.329    50737.996
   -7321.151    54727.251    45414.037
   67725.339   -22791.386     2221.979
   36012.982    57039.201    23679.119
   62227.967    31026.083   -16618.314
   27236.270    65600.327    -8117.190
  -70568.697    -3076.335   -11031.830
   59211.265   -34075.842    21070.577
  -58264.767    11173.769    39893.232
  -57126.975    42740.841     4564.568
    2887.339   -20898.122   -68308.402
   -5859.435    45144.585   -55124.763
  -45972.834   -37403.116   -39982.641
    6739.000    70574.735    -9214.048
   39356.958     -539.399   -59681.194
    2335.734   -71394.511    -2911.058
  -18140.659   -60234.110    33968.729
  -46904.226   -21847.431    49333.451
  -22364.724   -55926.551    38511.636
   14395.668    30448.100   -63061.748
  -27048.373   -65642.073    -8402.966
   28554.748   -61183.153    23502.217
  -65981.401   -22958.672   -15180.914
  -16334.655    66278.889   -21246.035
   71049.989    -7727.400    -1814.499
   42301.395   -57008.859    -8466.878
   43998.778   -56203.550    -4046.552
   65448.560    13926.012   -25172.568
   23588.828    10375.599   -66685.982
  -56996.993     9508.681   -42095.532
   16289.806   -29223.812    63180.037
  -14266.696   -55580.537   -42642.366
   38334.497    28525.978   -53177.448
   71316.232    -2541.689     4317.521
   27426.830   -64791.661   -12685.258
   38357.942   -58608.380   -14311.957
  -17832.615   -45383.246   -52282.549
  -67620.363     5084.798    22643.706
   53273.067   -35723.640    31573.849
    5429.529    43116.480    56767.908
  -67067.408     8555.734   -23235.064
  -29578.144   -53362.565    37264.945
  -42120.867    55005.246    17645.440
   26406.245    30791.984    58869.941
   47330.344    35289.709    40318.495
   51955.575    20923.971   -44428.726
   52084.846   -47627.551   -11396.985
   46656.868   -33558.420    42521.467
   51648.774   -30551.292    38860.375
   69831.121   -12703.756    -8563.599
  -23688.467    62605.966    25108.875
  -38285.764    55802.074   -23052.872
   -6480.368    24867.682   -66713.636
  -46888.453   -29337.974    45297.487
  -16137.832   -64984.718   -25053.201
   18058.672   -11130.453   -68272.274
  -10022.208   -34497.787   -61810.712
  -14733.452    69891.914    -3025.202
   47304.747    14979.052   -51468.388
   37729.531   -59710.930   -11054.113
   -1255.894    59398.461    39766.212
   53269.737    19570.482    43479.161
    8286.298    44953.290   -54969.492
   -6256.484   -67398.493    23008.817
