      IND             SHC     g | h         n         m
        1    4.109934e+05         g         1         0
        2   -7.130590e+04         g         1         1
        3    2.095840e+04         h         1         1
        4    1.179670e+04         g         2         0
        5   -5.697240e+04         g         2         1
        6   -4.254900e+04         h         2         1
        7    4.825020e+04         g         2         2
        8    2.022150e+04         h         2         2
        9    2.799300e+03         g         3         0
       10   -3.748840e+04         g         3         1
       11   -3.289060e+04         h         3         1
       12    1.539680e+04         g         3         2
       13    4.251840e+04         h         3         2
       14   -1.489800e+03         g         3         3
       15   -2.739770e+04         h         3         3
       16   -3.440200e+04         g         4         0
       17   -8.080800e+03         g         4         1
       18    3.245240e+04         h         4         1
       19   -2.440500e+03         g         4         2
       20    2.743860e+04         h         4         2
       21   -1.084830e+04         g         4         3
       22   -5.014000e+02         h         4         3
       23   -1.791910e+04         g         4         4
       24   -1.325100e+03         h         4         4
       25   -1.826570e+04         g         5         0
       26    4.221800e+03         g         5         1
       27    4.536310e+04         h         5         1
       28    1.659950e+04         g         5         2
       29   -8.262000e+02         h         5         2
       30   -1.734580e+04         g         5         3
       31    6.000600e+03         h         5         3
       32   -2.544500e+03         g         5         4
       33    1.056880e+04         h         5         4
       34   -4.987700e+03         g         5         5
       35    1.009150e+04         h         5         5
       36   -2.096800e+04         g         6         0
       37    9.887600e+03         g         6         1
       38    1.401690e+04         h         6         1
       39    1.219240e+04         g         6         2
       40   -1.011910e+04         h         6         2
       41   -1.254870e+04         g         6         3
       42   -2.949000e+02         h         6         3
       43    2.742200e+03         g         6         4
       44    1.394830e+04         h         6         4
       45    1.557600e+03         g         6         5
       46   -3.686900e+03         h         6         5
       47    8.018200e+03         g         6         6
       48    4.783100e+03         h         6         6
       49    5.990000e+01         g         7         0
       50    5.366100e+03         g         7         1
       51   -7.654800e+03         h         7         1
       52   -7.099500e+03         g         7         2
       53   -1.139860e+04         h         7         2
       54   -1.533400e+03         g         7         3
       55    2.171000e+03         h         7         3
       56   -7.055700e+03         g         7         4
       57    5.301600e+03         h         7         4
       58    3.060600e+03         g         7         5
       59   -6.618100e+03         h         7         5
       60   -2.488300e+03         g         7         6
       61   -1.933800e+03         h         7         6
       62    3.700800e+03         g         7         7
       63   -5.802900e+03         h         7         7
       64    1.084950e+04         g         8         0
       65    1.323800e+03         g         8         1
       66   -2.297400e+03         h         8         1
       67   -6.952200e+03         g         8         2
       68   -1.283350e+04         h         8         2
       69   -9.500000e+01         g         8         3
       70    1.001960e+04         h         8         3
       71   -4.746600e+03         g         8         4
       72   -1.725600e+03         h         8         4
       73   -1.301700e+03         g         8         5
       74    2.387100e+03         h         8         5
       75   -4.284600e+03         g         8         6
       76   -3.237100e+03         h         8         6
       77   -1.436700e+03         g         8         7
       78    9.061000e+02         h         8         7
       79   -3.024600e+03         g         8         8
       80   -3.178300e+03         h         8         8
       81    8.914400e+03         g         9         0
       82   -3.506700e+03         g         9         1
       83   -7.899600e+03         h         9         1
       84    2.881000e+02         g         9         2
       85   -1.328300e+03         h         9         2
       86    7.736000e+02         g         9         3
       87    6.566500e+03         h         9         3
       88    3.592700e+03         g         9         4
       89   -1.275300e+03         h         9         4
       90   -3.170800e+03         g         9         5
       91    3.617100e+03         h         9         5
       92    1.406300e+03         g         9         6
       93   -1.948000e+02         h         9         6
       94   -1.526600e+03         g         9         7
       95    1.960300e+03         h         9         7
       96    1.313300e+03         g         9         8
       97    9.569000e+02         h         9         8
       98   -2.314600e+03         g         9         9
       99    1.831700e+03         h         9         9
      100   -2.516500e+03         g        10         0
      101    1.883200e+03         g        10         1
      102   -5.689800e+03         h        10         1
      103    2.836100e+03         g        10         2
      104    5.570300e+03         h        10         2
      105    4.259400e+03         g        10         3
      106   -2.541600e+03         h        10         3
      107    3.776700e+03         g        10         4
      108   -1.795200e+03         h        10         4
      109    7.644000e+02         g        10         5
      110   -2.178000e+02         h        10         5
      111    2.112300e+03         g        10         6
      112   -6.283000e+02         h        10         6
      113    7.248000e+02         g        10         7
      114   -1.619600e+03         h        10         7
      115    2.496300e+03         g        10         8
      116    4.546000e+02         h        10         8
      117    8.401000e+02         g        10         9
      118   -8.400000e+02         h        10         9
      119    1.179400e+03         g        10        10
      120    1.581400e+03         h        10        10
      121    1.311600e+03         g        11         0
      122    3.056900e+03         g        11         1
      123    5.491000e+02         h        11         1
      124   -2.060600e+03         g        11         2
      125    4.527600e+03         h        11         2
      126    3.550100e+03         g        11         3
      127   -4.223000e+03         h        11         3
      128    5.897000e+02         g        11         4
      129   -2.761900e+03         h        11         4
      130    1.948000e+02         g        11         5
