# 
# ****** Theory ******
# Vector Potential-based
# Using 3 NNs
# ****** Obs Data Info ******
# PJ data: orbit 1-50
# cutRj: 4.0
# ****** Neural Network Info ******
# NN Size and Shape: 6*[40];
# NN Activation function: swish;
# NN Optimizer: Adam;
# Dynamic Weights: 1;
# RAD parameter: k=1, c=0, n0=3000, dn=600;
# Epochs: 12000;
# Batch size: 10000;
# Seed: 67890;
# Epoch      Loss     TLoss   LObs_bx   LObs_by   LObs_bz LCol_curlBx LCol_curlBy LCol_curlBz      wObs        LR
0000001 4.604e+01 4.604e+01 1.394e+01 1.399e+01 1.786e+01 1.326e-01 1.054e-01 1.572e-03 1.000e+00 2.000e-03
0000002 1.857e+02 5.049e+01 1.285e+01 1.256e+01 1.464e+01 5.014e+00 5.367e+00 6.073e-02 4.376e+00 1.999e-03
0000003 3.182e+02 6.863e+01 1.225e+01 1.147e+01 1.391e+01 1.597e+01 1.451e+01 5.345e-01 7.634e+00 1.999e-03
0000004 4.206e+02 9.154e+01 1.092e+01 1.066e+01 1.275e+01 2.942e+01 2.660e+01 1.185e+00 1.058e+01 1.998e-03
0000005 4.944e+02 1.180e+02 9.658e+00 9.489e+00 1.174e+01 4.384e+01 4.092e+01 2.397e+00 1.318e+01 1.998e-03
0000006 5.395e+02 1.345e+02 8.531e+00 8.617e+00 1.194e+01 5.020e+01 5.028e+01 4.921e+00 1.492e+01 1.997e-03
0000007 5.249e+02 1.460e+02 7.164e+00 6.640e+00 1.118e+01 6.269e+01 4.939e+01 8.901e+00 1.617e+01 1.997e-03
0000008 3.473e+02 1.238e+02 3.882e+00 4.550e+00 5.554e+00 4.422e+01 4.456e+01 2.101e+01 1.698e+01 1.996e-03
0000009 1.658e+02 4.045e+01 2.081e+00 2.506e+00 2.650e+00 1.218e+01 1.386e+01 7.182e+00 1.832e+01 1.996e-03
0000010 1.384e+02 2.754e+01 1.836e+00 1.991e+00 2.355e+00 8.645e+00 6.641e+00 6.069e+00 1.894e+01 1.996e-03
0000011 1.214e+02 2.599e+01 1.580e+00 1.683e+00 2.011e+00 8.429e+00 5.913e+00 6.371e+00 1.910e+01 1.995e-03
0000012 1.296e+02 2.743e+01 1.487e+00 1.629e+00 1.842e+00 8.195e+00 6.570e+00 7.703e+00 2.160e+01 1.995e-03
0000013 1.270e+02 2.810e+01 1.333e+00 1.557e+00 1.731e+00 9.404e+00 6.441e+00 7.633e+00 2.240e+01 1.994e-03
0000014 1.206e+02 2.505e+01 1.251e+00 1.443e+00 1.711e+00 8.023e+00 6.250e+00 6.370e+00 2.269e+01 1.994e-03
0000015 1.229e+02 2.672e+01 1.218e+00 1.386e+00 1.666e+00 8.167e+00 7.028e+00 7.254e+00 2.353e+01 1.993e-03
0000016 1.209e+02 3.043e+01 1.044e+00 1.111e+00 1.421e+00 1.029e+01 8.688e+00 7.877e+00 2.631e+01 1.993e-03
0000017 1.308e+02 3.347e+01 9.783e-01 1.085e+00 1.378e+00 1.121e+01 9.848e+00 8.976e+00 2.927e+01 1.992e-03
0000018 1.279e+02 3.260e+01 7.958e-01 9.065e-01 1.197e+00 1.154e+01 1.030e+01 7.862e+00 3.387e+01 1.992e-03
0000019 1.207e+02 3.409e+01 6.799e-01 7.995e-01 1.033e+00 1.295e+01 1.040e+01 8.238e+00 3.549e+01 1.992e-03
0000020 1.160e+02 3.003e+01 6.562e-01 7.047e-01 9.458e-01 1.273e+01 8.821e+00 6.173e+00 3.826e+01 1.991e-03
0000021 1.030e+02 2.856e+01 5.442e-01 6.682e-01 8.390e-01 1.150e+01 8.531e+00 6.477e+00 3.728e+01 1.991e-03
0000022 9.986e+01 2.713e+01 5.320e-01 6.027e-01 7.792e-01 1.088e+01 8.276e+00 6.059e+00 3.900e+01 1.990e-03
0000023 9.091e+01 2.508e+01 4.755e-01 5.682e-01 7.467e-01 1.072e+01 7.473e+00 5.090e+00 3.777e+01 1.990e-03
0000024 9.570e+01 2.966e+01 4.997e-01 5.287e-01 7.712e-01 1.203e+01 8.771e+00 7.064e+00 3.769e+01 1.989e-03
0000025 8.138e+01 2.213e+01 4.386e-01 4.622e-01 6.489e-01 8.925e+00 6.954e+00 4.707e+00 3.923e+01 1.989e-03
0000026 7.335e+01 2.136e+01 3.802e-01 4.451e-01 6.155e-01 8.454e+00 6.668e+00 4.797e+00 3.709e+01 1.988e-03
0000027 7.298e+01 1.915e+01 3.732e-01 4.166e-01 5.750e-01 7.769e+00 6.245e+00 3.772e+00 4.044e+01 1.988e-03
0000028 7.381e+01 2.224e+01 3.508e-01 4.055e-01 5.587e-01 8.543e+00 7.105e+00 5.277e+00 4.021e+01 1.988e-03
0000029 7.567e+01 2.174e+01 3.419e-01 3.749e-01 5.544e-01 8.674e+00 6.581e+00 5.217e+00 4.342e+01 1.987e-03
0000030 7.436e+01 2.157e+01 3.124e-01 3.463e-01 5.138e-01 8.791e+00 7.021e+00 4.582e+00 4.602e+01 1.987e-03
0000031 7.647e+01 2.300e+01 2.850e-01 3.038e-01 4.782e-01 1.018e+01 6.929e+00 4.824e+00 5.110e+01 1.986e-03
0000032 7.817e+01 2.123e+01 2.876e-01 3.031e-01 4.556e-01 9.069e+00 7.032e+00 4.080e+00 5.542e+01 1.986e-03
0000033 7.072e+01 1.913e+01 2.530e-01 2.801e-01 4.309e-01 7.816e+00 6.486e+00 3.865e+00 5.451e+01 1.985e-03
0000034 7.636e+01 2.202e+01 2.662e-01 2.967e-01 4.760e-01 9.067e+00 6.420e+00 5.491e+00 5.331e+01 1.985e-03
0000035 6.846e+01 1.852e+01 2.510e-01 2.755e-01 4.333e-01 7.940e+00 5.850e+00 3.771e+00 5.304e+01 1.984e-03
0000036 6.527e+01 1.793e+01 2.419e-01 2.605e-01 4.157e-01 7.631e+00 5.886e+00 3.495e+00 5.256e+01 1.984e-03
0000037 6.881e+01 2.092e+01 2.369e-01 2.489e-01 4.006e-01 9.309e+00 6.492e+00 4.229e+00 5.504e+01 1.984e-03
0000038 6.544e+01 1.752e+01 2.135e-01 2.353e-01 3.879e-01 7.562e+00 5.740e+00 3.381e+00 5.827e+01 1.983e-03
0000039 6.568e+01 1.916e+01 2.113e-01 2.386e-01 3.665e-01 7.989e+00 6.127e+00 4.224e+00 5.799e+01 1.983e-03
0000040 6.385e+01 1.665e+01 2.031e-01 2.209e-01 3.513e-01 7.332e+00 5.630e+00 2.916e+00 6.188e+01 1.982e-03
0000041 5.941e+01 1.565e+01 1.996e-01 2.190e-01 3.484e-01 6.646e+00 5.511e+00 2.722e+00 5.806e+01 1.982e-03
0000042 5.399e+01 1.452e+01 1.861e-01 2.173e-01 3.349e-01 6.454e+00 4.841e+00 2.489e+00 5.446e+01 1.981e-03
0000043 5.727e+01 1.698e+01 1.998e-01 2.105e-01 3.516e-01 6.596e+00 5.658e+00 3.967e+00 5.388e+01 1.981e-03
0000044 5.619e+01 1.578e+01 1.812e-01 2.078e-01 3.319e-01 6.825e+00 5.280e+00 2.952e+00 5.706e+01 1.980e-03
0000045 5.371e+01 1.449e+01 1.791e-01 2.106e-01 3.146e-01 6.160e+00 4.983e+00 2.642e+00 5.669e+01 1.980e-03
0000046 5.283e+01 1.454e+01 1.712e-01 2.037e-01 3.141e-01 5.987e+00 5.003e+00 2.861e+00 5.657e+01 1.980e-03
0000047 6.621e+01 2.742e+01 1.767e-01 2.052e-01 3.108e-01 1.081e+01 7.238e+00 8.676e+00 5.699e+01 1.979e-03
0000048 5.695e+01 1.648e+01 1.536e-01 1.910e-01 2.935e-01 6.740e+00 5.684e+00 3.414e+00 6.443e+01 1.979e-03
0000049 5.483e+01 1.630e+01 1.527e-01 1.862e-01 2.789e-01 6.569e+00 5.581e+00 3.528e+00 6.337e+01 1.978e-03
0000050 5.444e+01 1.492e+01 1.466e-01 1.831e-01 2.792e-01 6.194e+00 5.319e+00 2.798e+00 6.590e+01 1.978e-03
0000051 5.386e+01 1.711e+01 1.492e-01 1.783e-01 2.656e-01 7.046e+00 5.604e+00 3.864e+00 6.296e+01 1.977e-03
0000052 5.108e+01 1.471e+01 1.393e-01 1.723e-01 2.515e-01 6.369e+00 5.021e+00 2.754e+00 6.560e+01 1.977e-03
0000053 6.015e+01 2.282e+01 1.499e-01 1.694e-01 2.620e-01 9.348e+00 7.273e+00 5.615e+00 6.523e+01 1.976e-03
