      IND             SHC     g | h         n         m
        1    4.109034e+05         g         1         0
        2   -7.128818e+04         g         1         1
        3    2.107995e+04         h         1         1
        4    1.178424e+04         g         2         0
        5   -5.698770e+04         g         2         1
        6   -4.269755e+04         h         2         1
        7    4.824616e+04         g         2         2
        8    2.024027e+04         h         2         2
        9    2.748232e+03         g         3         0
       10   -3.738987e+04         g         3         1
       11   -3.274472e+04         h         3         1
       12    1.536239e+04         g         3         2
       13    4.240877e+04         h         3         2
       14   -1.623470e+03         g         3         3
       15   -2.748257e+04         h         3         3
       16   -3.414576e+04         g         4         0
       17   -8.235105e+03         g         4         1
       18    3.189286e+04         h         4         1
       19   -2.606596e+03         g         4         2
       20    2.781639e+04         h         4         2
       21   -1.074868e+04         g         4         3
       22   -6.336619e+02         h         4         3
       23   -1.801354e+04         g         4         4
       24   -1.261119e+03         h         4         4
       25   -1.903558e+04         g         5         0
       26    4.641943e+03         g         5         1
       27    4.619911e+04         h         5         1
       28    1.656219e+04         g         5         2
       29   -1.381313e+03         h         5         2
       30   -1.744548e+04         g         5         3
       31    5.953784e+03         h         5         3
       32   -2.546966e+03         g         5         4
       33    1.054396e+04         h         5         4
       34   -4.901023e+03         g         5         5
       35    1.012482e+04         h         5         5
       36   -2.008883e+04         g         6         0
       37    9.301165e+03         g         6         1
       38    1.274937e+04         h         6         1
       39    1.205895e+04         g         6         2
       40   -9.230496e+03         h         6         2
       41   -1.225843e+04         g         6         3
       42   -2.271798e+02         h         6         3
       43    2.648689e+03         g         6         4
       44    1.379676e+04         h         6         4
       45    1.419857e+03         g         6         5
       46   -3.697234e+03         h         6         5
       47    8.096480e+03         g         6         6
       48    4.729642e+03         h         6         6
       49   -1.918995e+03         g         7         0
       50    6.262069e+03         g         7         1
       51   -6.147045e+03         h         7         1
       52   -6.714651e+03         g         7         2
       53   -1.245320e+04         h         7         2
       54   -1.975355e+03         g         7         3
       55    1.996040e+03         h         7         3
       56   -6.947501e+03         g         7         4
       57    5.412883e+03         h         7         4
       58    3.248788e+03         g         7         5
       59   -6.637657e+03         h         7         5
       60   -2.480918e+03         g         7         6
       61   -1.930340e+03         h         7         6
       62    3.630590e+03         g         7         7
       63   -5.914914e+03         h         7         7
       64    1.254169e+04         g         8         0
       65    2.943903e+02         g         8         1
       66   -3.935085e+03         h         8         1
       67   -7.472954e+03         g         8         2
       68   -1.166811e+04         h         8         2
       69    3.416328e+02         g         8         3
       70    1.039483e+04         h         8         3
       71   -4.822752e+03         g         8         4
       72   -1.729495e+03         h         8         4
       73   -1.615258e+03         g         8         5
       74    2.273389e+03         h         8         5
       75   -4.356810e+03         g         8         6
       76   -3.262455e+03         h         8         6
       77   -1.380442e+03         g         8         7
       78    9.937782e+02         h         8         7
       79   -3.057533e+03         g         8         8
       80   -3.127766e+03         h         8         8
       81    6.309672e+03         g         9         0
       82   -2.203107e+03         g         9         1
       83   -6.638561e+03         h         9         1
       84    1.200703e+03         g         9         2
       85   -2.023254e+03         h         9         2
       86    7.226038e+02         g         9         3
       87    6.515238e+03         h         9         3
       88    3.548507e+03         g         9         4
       89   -1.401510e+03         h         9         4
       90   -2.709685e+03         g         9         5
       91    3.720622e+03         h         9         5
       92    1.480736e+03         g         9         6
       93   -1.856560e+02         h         9         6
       94   -1.501424e+03         g         9         7
       95    1.870297e+03         h         9         7
       96    1.359727e+03         g         9         8
       97    8.890032e+02         h         9         8
       98   -2.270253e+03         g         9         9
       99    1.865536e+03         h         9         9
      100   -1.361060e+03         g        10         0
      101    9.465296e+02         g        10         1
      102   -6.521140e+03         h        10         1
      103    1.959654e+03         g        10         2
      104    5.626284e+03         h        10         2
      105    4.226228e+03         g        10         3
      106   -2.082338e+03         h        10         3
      107    4.031193e+03         g        10         4
      108   -1.567129e+03         h        10         4
      109    3.829970e+02         g        10         5
      110   -3.243398e+02         h        10         5
      111    1.982167e+03         g        10         6
      112   -8.159231e+02         h        10         6
      113    7.831502e+02         g        10         7
      114   -1.583754e+03         h        10         7
      115    2.517872e+03         g        10         8
      116    4.706992e+02         h        10         8
      117    8.620733e+02         g        10         9
      118   -7.888203e+02         h        10         9
      119    1.156253e+03         g        10        10
      120    1.571714e+03         h        10        10
      121   -1.456268e+02         g        11         0
      122    3.554839e+03         g        11         1
      123    5.242823e+02         h        11         1
      124   -1.161790e+03         g        11         2
      125    4.832606e+03         h        11         2
      126    4.170693e+03         g        11         3
      127   -3.987168e+03         h        11         3
      128    3.675408e+02         g        11         4
      129   -3.120722e+03         h        11         4
      130    4.436827e+02         g        11         5
      131   -3.636747e+02         h        11         5
      132   -1.080170e+03         g        11         6
      133   -2.757323e+03         h        11         6
      134   -3.735684e+02         g        11         7
      135   -1.445694e+03         h        11         7
      136    8.121805e+02         g        11         8
      137   -1.754703e+03         h        11         8
      138    2.434926e+02         g        11         9
      139   -1.576301e+03         h        11         9
      140   -2.267755e+02         g        11        10
      141   -6.454660e+02         h        11        10
      142    1.002922e+03         g        11        11
      143   -5.380467e+02         h        11        11
      144    1.593748e+03         g        12         0
      145    2.000317e+03         g        12         1
      146    4.770573e+03         h        12         1
      147   -6.732477e+02         g        12         2
      148    1.645547e+03         h        12         2
      149    2.572533e+02         g        12         3
      150   -1.702620e+03         h        12         3
      151   -6.048357e+02         g        12         4
      152   -1.003765e+03         h        12         4
      153   -9.240810e+02         g        12         5
