      IND             SHC     g | h         n         m
        1    8.027055e+05         g         1         0
        2   -1.392887e+05         g         1         1
        3    4.127131e+04         h         1         1
        4    2.867920e+04         g         2         0
        5   -1.390318e+05         g         2         1
        6   -1.041679e+05         h         2         1
        7    1.178343e+05         g         2         2
        8    4.947291e+04         h         2         2
        9    8.371089e+03         g         3         0
       10   -1.140713e+05         g         3         1
       11   -9.985331e+04         h         3         1
       12    4.680509e+04         g         3         2
       13    1.293994e+05         h         3         2
       14   -4.942291e+03         g         3         3
       15   -8.380313e+04         h         3         3
       16   -1.302451e+05         g         4         0
       17   -3.139548e+04         g         4         1
       18    1.216683e+05         h         4         1
       19   -9.891483e+03         g         4         2
       20    1.061160e+05         h         4         2
       21   -4.106972e+04         g         4         3
       22   -2.454605e+03         h         4         3
       23   -6.872114e+04         g         4         4
       24   -4.846767e+03         h         4         4
       25   -9.076530e+04         g         5         0
       26    2.211544e+04         g         5         1
       27    2.203676e+05         h         5         1
       28    7.891180e+04         g         5         2
       29   -6.646141e+03         h         5         2
       30   -8.323170e+04         g         5         3
       31    2.836758e+04         h         5         3
       32   -1.208169e+04         g         5         4
       33    5.029423e+04         h         5         4
       34   -2.342458e+04         g         5         5
       35    4.823894e+04         h         5         5
       36   -1.197441e+05         g         6         0
       37    5.547324e+04         g         6         1
       38    7.601628e+04         h         6         1
       39    7.176135e+04         g         6         2
       40   -5.490771e+04         h         6         2
       41   -7.306742e+04         g         6         3
       42   -1.432885e+03         h         6         3
       43    1.564994e+04         g         6         4
       44    8.224837e+04         h         6         4
       45    8.518981e+03         g         6         5
       46   -2.195889e+04         h         6         5
       47    4.841190e+04         g         6         6
       48    2.820790e+04         h         6         6
       49   -1.446466e+04         g         7         0
       50    4.679516e+04         g         7         1
       51   -4.566867e+04         h         7         1
       52   -4.996389e+04         g         7         2
       53   -9.282661e+04         h         7         2
       54   -1.449141e+04         g         7         3
       55    1.485080e+04         h         7         3
       56   -5.155585e+04         g         7         4
       57    4.039484e+04         h         7         4
       58    2.425647e+04         g         7         5
       59   -4.962737e+04         h         7         5
       60   -1.866580e+04         g         7         6
       61   -1.454329e+04         h         7         6
       62    2.714072e+04         g         7         7
       63   -4.385715e+04         h         7         7
       64    1.168616e+05         g         8         0
       65    2.921461e+03         g         8         1
       66   -3.693181e+04         h         8         1
       67   -6.970100e+04         g         8         2
       68   -1.085353e+05         h         8         2
       69    2.948373e+03         g         8         3
       70    9.670215e+04         h         8         3
       71   -4.491306e+04         g         8         4
       72   -1.639849e+04         h         8         4
       73   -1.522019e+04         g         8         5
       74    2.131279e+04         h         8         5
       75   -4.035744e+04         g         8         6
       76   -3.030994e+04         h         8         6
       77   -1.241833e+04         g         8         7
       78    8.896074e+03         h         8         7
       79   -2.893941e+04         g         8         8
       80   -2.875151e+04         h         8         8
       81    7.337070e+04         g         9         0
       82   -2.542222e+04         g         9         1
       83   -7.712684e+04         h         9         1
       84    1.406048e+04         g         9         2
       85   -2.365916e+04         h         9         2
       86    8.874559e+03         g         9         3
       87    7.587247e+04         h         9         3
       88    4.149511e+04         g         9         4
       89   -1.610112e+04         h         9         4
       90   -3.157254e+04         g         9         5
       91    4.294419e+04         h         9         5
       92    1.759643e+04         g         9         6
       93   -2.496700e+03         h         9         6
       94   -1.796414e+04         g         9         7
       95    2.168964e+04         h         9         7
       96    1.677463e+04         g         9         8
