      IND             SHC     g | h         n         m
        1    5.636864e+05         g         1         0
        2   -9.783789e+04         g         1         1
        3    2.897486e+04         h         1         1
        4    1.795028e+04         g         2         0
        5   -8.685781e+04         g         2         1
        6   -6.508591e+04         h         2         1
        7    7.359215e+04         g         2         2
        8    3.079359e+04         h         2         2
        9    4.701993e+03         g         3         0
       10   -6.333618e+04         g         3         1
       11   -5.542248e+04         h         3         1
       12    2.601729e+04         g         3         2
       13    7.177878e+04         h         3         2
       14   -2.745120e+03         g         3         3
       15   -4.653753e+04         h         3         3
       16   -6.424043e+04         g         4         0
       17   -1.549203e+04         g         4         1
       18    5.997640e+04         h         4         1
       19   -4.898494e+03         g         4         2
       20    5.232761e+04         h         4         2
       21   -2.024812e+04         g         4         3
       22   -1.220703e+03         h         4         3
       23   -3.392356e+04         g         4         4
       24   -2.365369e+03         h         4         4
       25   -3.979942e+04         g         5         0
       26    9.687767e+03         g         5         1
       27    9.664191e+04         h         5         1
       28    3.458405e+04         g         5         2
       29   -2.893667e+03         h         5         2
       30   -3.648702e+04         g         5         3
       31    1.247580e+04         h         5         3
       32   -5.305355e+03         g         5         4
       33    2.204639e+04         h         5         4
       34   -1.025695e+04         g         5         5
       35    2.118102e+04         h         5         5
       36   -4.664881e+04         g         6         0
       37    2.161492e+04         g         6         1
       38    2.962464e+04         h         6         1
       39    2.799487e+04         g         6         2
       40   -2.139125e+04         h         6         2
       41   -2.848028e+04         g         6         3
       42   -5.492971e+02         h         6         3
       43    6.133597e+03         g         6         4
       44    3.205595e+04         h         6         4
       45    3.316419e+03         g         6         5
       46   -8.562662e+03         h         6         5
       47    1.886419e+04         g         6         6
       48    1.099361e+04         h         6         6
       49   -5.000252e+03         g         7         0
       50    1.621174e+04         g         7         1
       51   -1.584219e+04         h         7         1
       52   -1.730430e+04         g         7         2
       53   -3.214185e+04         h         7         2
       54   -5.050572e+03         g         7         3
       55    5.122437e+03         h         7         3
       56   -1.787727e+04         g         7         4
       57    1.398980e+04         h         7         4
       58    8.398075e+03         g         7         5
       59   -1.717883e+04         h         7         5
       60   -6.455081e+03         g         7         6
       61   -5.030011e+03         h         7         6
       62    9.388980e+03         g         7         7
       63   -1.521276e+04         h         7         7
