      IND             SHC     g | h         n         m
        1    4.107237e+05         g         1         0
        2   -7.126709e+04         g         1         1
        3    2.099321e+04         h         1         1
        4    1.222967e+04         g         2         0
        5   -5.677633e+04         g         2         1
        6   -4.278327e+04         h         2         1
        7    4.814791e+04         g         2         2
        8    2.049892e+04         h         2         2
        9    2.944351e+03         g         3         0
       10   -3.727746e+04         g         3         1
       11   -3.274807e+04         h         3         1
       12    1.521496e+04         g         3         2
       13    4.243836e+04         h         3         2
       14   -1.295769e+03         g         3         3
       15   -2.748903e+04         h         3         3
       16   -3.362381e+04         g         4         0
       17   -8.360164e+03         g         4         1
       18    3.162064e+04         h         4         1
       19   -2.664164e+03         g         4         2
       20    2.785649e+04         h         4         2
       21   -1.075365e+04         g         4         3
       22   -7.799630e+02         h         4         3
       23   -1.795878e+04         g         4         4
       24   -1.549300e+03         h         4         4
       25   -1.887677e+04         g         5         0
       26    4.357567e+03         g         5         1
       27    4.635401e+04         h         5         1
       28    1.646032e+04         g         5         2
       29   -1.349693e+03         h         5         2
       30   -1.743698e+04         g         5         3
       31    5.843098e+03         h         5         3
       32   -2.623641e+03         g         5         4
       33    1.053578e+04         h         5         4
       34   -5.123831e+03         g         5         5
       35    1.004827e+04         h         5         5
       36   -1.956563e+04         g         6         0
       37    9.098072e+03         g         6         1
       38    1.249033e+04         h         6         1
       39    1.214733e+04         g         6         2
       40   -9.068560e+03         h         6         2
       41   -1.239482e+04         g         6         3
       42   -4.981499e+02         h         6         3
       43    2.484675e+03         g         6         4
       44    1.384999e+04         h         6         4
       45    1.365046e+03         g         6         5
       46   -3.599113e+03         h         6         5
       47    7.963681e+03         g         6         6
       48    4.908826e+03         h         6         6
       49   -1.529026e+03         g         7         0
       50    6.090178e+03         g         7         1
       51   -5.795331e+03         h         7         1
       52   -6.746561e+03         g         7         2
       53   -1.249482e+04         h         7         2
       54   -1.806620e+03         g         7         3
       55    1.894239e+03         h         7         3
       56   -6.889492e+03         g         7         4
       57    5.503612e+03         h         7         4
       58    3.391274e+03         g         7         5
       59   -6.673224e+03         h         7         5
       60   -2.350544e+03         g         7         6
       61   -1.980964e+03         h         7         6
       62    3.814115e+03         g         7         7
       63   -5.765630e+03         h         7         7
       64    1.331169e+04         g         8         0
       65    1.392601e+02         g         8         1
       66   -4.072006e+03         h         8         1
       67   -7.406725e+03         g         8         2
       68   -1.170936e+04         h         8         2
       69    1.438884e+02         g         8         3
       70    1.010703e+04         h         8         3
       71   -4.788062e+03         g         8         4
       72   -1.750219e+03         h         8         4
       73   -1.724942e+03         g         8         5
       74    2.352631e+03         h         8         5
       75   -4.325531e+03         g         8         6
       76   -3.314865e+03         h         8         6
       77   -1.377558e+03         g         8         7
       78    9.328937e+02         h         8         7
       79   -3.059523e+03         g         8         8
       80   -3.234367e+03         h         8         8
       81    7.069873e+03         g         9         0
       82   -2.282698e+03         g         9         1
       83   -6.482389e+03         h         9         1
       84    1.156801e+03         g         9         2
       85   -1.987241e+03         h         9         2
       86    7.147048e+02         g         9         3
       87    6.252945e+03         h         9         3
       88    3.538196e+03         g         9         4
       89   -1.185894e+03         h         9         4
       90   -2.779091e+03         g         9         5
       91    3.564881e+03         h         9         5
       92    1.622847e+03         g         9         6
       93   -1.641334e+02         h         9         6
       94   -1.590216e+03         g         9         7
       95    1.924207e+03         h         9         7
       96    1.376326e+03         g         9         8
       97    8.459083e+02         h         9         8
       98   -2.387487e+03         g         9         9
       99    1.796281e+03         h         9         9
      100   -4.362481e+02         g        10         0
      101    8.698229e+02         g        10         1
      102   -6.378886e+03         h        10         1
      103    1.849551e+03         g        10         2
      104    5.639010e+03         h        10         2
      105    4.156004e+03         g        10         3
      106   -2.297269e+03         h        10         3
      107    3.988200e+03         g        10         4
      108   -1.507412e+03         h        10         4
      109    4.185663e+02         g        10         5
      110   -3.760465e+02         h        10         5
      111    1.950844e+03         g        10         6
      112   -7.568373e+02         h        10         6
      113    8.001042e+02         g        10         7
      114   -1.557837e+03         h        10         7
      115    2.489960e+03         g        10         8
      116    4.034635e+02         h        10         8
      117    8.631714e+02         g        10         9
      118   -7.478410e+02         h        10         9
      119    1.094820e+03         g        10        10
      120    1.672084e+03         h        10        10
      121    8.345551e+02         g        11         0
      122    3.469822e+03         g        11         1
      123    6.111844e+02         h        11         1
      124   -1.222403e+03         g        11         2
      125    4.936733e+03         h        11         2
      126    4.069969e+03         g        11         3
      127   -4.237040e+03         h        11         3
      128    3.241915e+02         g        11         4
      129   -3.070934e+03         h        11         4
      130    4.106762e+02         g        11         5
      131   -3.338730e+02         h        11         5
      132   -9.634716e+02         g        11         6
      133   -2.770696e+03         h        11         6
      134   -3.545675e+02         g        11         7
      135   -1.355049e+03         h        11         7
      136    8.185399e+02         g        11         8
      137   -1.847298e+03         h        11         8
      138    2.540046e+02         g        11         9
      139   -1.539686e+03         h        11         9
      140   -1.867948e+02         g        11        10
      141   -6.458012e+02         h        11        10
      142    1.056965e+03         g        11        11
      143   -5.643569e+02         h        11        11
      144    2.642862e+03         g        12         0
      145    1.904244e+03         g        12         1
      146    4.933017e+03         h        12         1
      147   -6.394167e+02         g        12         2
      148    1.760106e+03         h        12         2
      149    8.971019e+01         g        12         3
      150   -1.972641e+03         h        12         3
      151   -6.175477e+02         g        12         4
      152   -9.763413e+02         h        12         4
      153   -9.406827e+02         g        12         5
      154    1.032565e+03         h        12         5
      155   -9.665226e+02         g        12         6
      156   -1.179421e+03         h        12         6
      157   -2.049943e+03         g        12         7
      158    8.122006e+02         h        12         7
      159    5.681105e+02         g        12         8
      160   -9.709281e+02         h        12         8
      161   -1.381013e+03         g        12         9
      162   -5.620036e+02         h        12         9
      163   -7.220516e+02         g        12        10
      164   -3.511830e+01         h        12        10
      165   -6.200531e+02         g        12        11
      166    1.685941e+01         h        12        11
      167   -2.429500e+02         g        12        12
      168   -6.143610e+02         h        12        12
      169    1.638418e+03         g        13         0
      170   -9.461659e+02         g        13         1
      171    3.243059e+03         h        13         1
      172    1.226403e+03         g        13         2
      173    4.475842e+02         h        13         2
      174   -1.957044e+03         g        13         3
      175   -3.960726e+02         h        13         3
      176    5.848151e+01         g        13         4
      177    1.934069e+03         h        13         4
      178    1.687288e+02         g        13         5
      179    2.420542e+02         h        13         5
      180    2.720152e+02         g        13         6
      181    1.003343e+03         h        13         6
      182   -8.201229e+02         g        13         7
      183    1.117314e+03         h        13         7
      184    1.152100e+03         g        13         8
      185    3.446368e+02         h        13         8
      186   -6.125167e+02         g        13         9
      187   -1.169634e+02         h        13         9
      188   -1.462609e+02         g        13        10
      189    1.091467e+03         h        13        10
      190   -2.579268e+02         g        13        11
      191    5.045795e+02         h        13        11
      192   -1.144709e+02         g        13        12
      193    4.876072e+02         h        13        12
      194   -3.579144e+02         g        13        13
      195    5.532173e+01         h        13        13
      196    1.045477e+03         g        14         0
      197   -2.164526e+03         g        14         1
      198    5.758423e+01         h        14         1
      199    1.024337e+03         g        14         2
      200   -8.210833e+01         h        14         2
      201   -1.266801e+03         g        14         3
      202    1.076996e+02         h        14         3
      203   -3.361030e+01         g        14         4
      204    1.582786e+03         h        14         4
      205    1.226771e+03         g        14         5
      206   -9.706121e+02         h        14         5
      207    1.545358e+02         g        14         6
      208    8.236278e+02         h        14         6
      209    6.086337e+02         g        14         7
      210    2.402579e+02         h        14         7
      211    7.459820e+02         g        14         8
      212   -2.486629e+02         h        14         8
      213    2.801345e+02         g        14         9
      214   -3.054260e+02         h        14         9
      215    2.916039e+02         g        14        10
      216    5.042084e+02         h        14        10
      217    3.656346e+02         g        14        11
      218    2.854532e+02         h        14        11
      219    2.496329e+02         g        14        12
      220    2.641501e+02         h        14        12
      221    2.840830e+02         g        14        13
      222    1.625861e+02         h        14        13
      223   -4.640581e+01         g        14        14
      224    1.933879e+02         h        14        14
      225    8.832640e+02         g        15         0
      226   -1.950555e+03         g        15         1
      227   -1.329571e+03         h        15         1
      228   -2.080930e+02         g        15         2
      229   -5.287022e+02         h        15         2
      230   -5.811774e+02         g        15         3
      231    4.305696e+02         h        15         3
      232   -4.579506e+02         g        15         4
      233   -2.639540e+01         h        15         4
      234    2.113061e+02         g        15         5
      235   -7.721103e+02         h        15         5
      236   -4.497558e+02         g        15         6
      237    2.106167e+02         h        15         6
      238    3.847371e+02         g        15         7
      239   -4.307387e+01         h        15         7
      240   -3.035699e+02         g        15         8
      241   -6.900202e+02         h        15         8
      242   -1.175221e+02         g        15         9
      243   -1.533742e+02         h        15         9
      244    1.446408e+02         g        15        10
      245   -1.192406e+02         h        15        10
      246   -4.311031e+01         g        15        11
      247   -3.210771e+01         h        15        11
      248    1.596523e+02         g        15        12
      249   -5.388548e+01         h        15        12
      250    1.233434e+02         g        15        13
      251   -1.151333e+02         h        15        13
      252    1.529673e+02         g        15        14
      253   -1.537133e+02         h        15        14
      254    9.295066e+01         g        15        15
      255    9.369925e+01         h        15        15
      256   -1.637523e+02         g        16         0
      257   -1.173520e+03         g        16         1
      258   -7.769591e+02         h        16         1
      259   -5.758440e+02         g        16         2
      260   -4.172607e+02         h        16         2
      261   -3.795650e+02         g        16         3
      262    5.480780e+02         h        16         3
      263   -2.775209e+02         g        16         4
      264   -2.697495e+02         h        16         4
      265   -7.819765e+02         g        16         5
      266    1.605715e+02         h        16         5
      267   -2.375508e+02         g        16         6
      268    4.274570e+02         h        16         6
      269    7.489577e+01         g        16         7
      270    2.024074e+02         h        16         7
      271   -7.217314e+02         g        16         8
      272   -6.632329e+01         h        16         8
      273   -3.111277e+02         g        16         9
      274    4.086218e+02         h        16         9
      275    5.633165e+00         g        16        10
      276    5.428674e+01         h        16        10
      277   -3.042898e+02         g        16        11
      278    8.040218e+01         h        16        11
      279   -1.050068e+02         g        16        12
      280    2.104503e+02         h        16        12
      281   -6.430703e+01         g        16        13
